user,timestamp,jacoco,jacoco_valid,pitest,pitest_valid,group
1d20c70c-aa71-49ff-abf5-6013870a28f8,2025-04-17 09:46:46.781000+02:00,../../generated/reports-no-bug\1d20c70c-aa71-49ff-abf5-6013870a28f8\2025-04-17T07-46-46.781Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\1d20c70c-aa71-49ff-abf5-6013870a28f8\2025-04-17T07-46-46.781Z\Pitest\mutations.xml,False,A
1d20c70c-aa71-49ff-abf5-6013870a28f8,2025-04-17 10:06:49.533000+02:00,../../generated/reports-no-bug\1d20c70c-aa71-49ff-abf5-6013870a28f8\2025-04-17T08-06-49.533Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\1d20c70c-aa71-49ff-abf5-6013870a28f8\2025-04-17T08-06-49.533Z\Pitest\mutations.xml,False,A
1f06f352-91b6-4373-87ed-5a5070723efb,2025-04-17 10:06:44.823000+02:00,../../generated/reports-no-bug\1f06f352-91b6-4373-87ed-5a5070723efb\2025-04-17T08-06-44.823Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\1f06f352-91b6-4373-87ed-5a5070723efb\2025-04-17T08-06-44.823Z\Pitest\mutations.xml,False,A
3e58c347-cdf0-4139-93e0-1adf144753c4,2025-04-17 09:30:22.616000+02:00,../../generated/reports-no-bug\3e58c347-cdf0-4139-93e0-1adf144753c4\2025-04-17T07-30-22.616Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\3e58c347-cdf0-4139-93e0-1adf144753c4\2025-04-17T07-30-22.616Z\Pitest\mutations.xml,False,A
465777bf-b8f8-4dbe-b99e-7e1c208be8dc,2025-04-17 10:05:03.173000+02:00,../../generated/reports-no-bug\465777bf-b8f8-4dbe-b99e-7e1c208be8dc\2025-04-17T08-05-03.173Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\465777bf-b8f8-4dbe-b99e-7e1c208be8dc\2025-04-17T08-05-03.173Z\Pitest\mutations.xml,False,B
4d14cb87-b95e-4575-8823-f951391a3e6a,2025-04-17 09:25:56.334000+02:00,../../generated/reports-no-bug\4d14cb87-b95e-4575-8823-f951391a3e6a\2025-04-17T07-25-56.334Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\4d14cb87-b95e-4575-8823-f951391a3e6a\2025-04-17T07-25-56.334Z\Pitest\mutations.xml,False,B
4d14cb87-b95e-4575-8823-f951391a3e6a,2025-04-17 10:04:59.677000+02:00,../../generated/reports-no-bug\4d14cb87-b95e-4575-8823-f951391a3e6a\2025-04-17T08-04-59.677Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\4d14cb87-b95e-4575-8823-f951391a3e6a\2025-04-17T08-04-59.677Z\Pitest\mutations.xml,False,B
674eeeb6-2534-419d-8965-63e4400f60c4,2025-04-17 09:27:59.372000+02:00,../../generated/reports-no-bug\674eeeb6-2534-419d-8965-63e4400f60c4\2025-04-17T07-27-59.372Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\674eeeb6-2534-419d-8965-63e4400f60c4\2025-04-17T07-27-59.372Z\Pitest\mutations.xml,False,A
674eeeb6-2534-419d-8965-63e4400f60c4,2025-04-17 10:06:41.999000+02:00,../../generated/reports-no-bug\674eeeb6-2534-419d-8965-63e4400f60c4\2025-04-17T08-06-41.999Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\674eeeb6-2534-419d-8965-63e4400f60c4\2025-04-17T08-06-41.999Z\Pitest\mutations.xml,False,A
69f381b2-d619-4968-9db9-ec0e3b10f850,2025-04-17 10:04:58.024000+02:00,../../generated/reports-no-bug\69f381b2-d619-4968-9db9-ec0e3b10f850\2025-04-17T08-04-58.024Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\69f381b2-d619-4968-9db9-ec0e3b10f850\2025-04-17T08-04-58.024Z\Pitest\mutations.xml,False,B
88a83dd8-0ea0-41ad-93ca-d397d796fb37,2025-04-17 10:05:03.055000+02:00,../../generated/reports-no-bug\88a83dd8-0ea0-41ad-93ca-d397d796fb37\2025-04-17T08-05-03.055Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\88a83dd8-0ea0-41ad-93ca-d397d796fb37\2025-04-17T08-05-03.055Z\Pitest\mutations.xml,False,B
d5082901-d846-4794-82af-2c7db8d50788,2025-04-17 10:05:10.780000+02:00,../../generated/reports-no-bug\d5082901-d846-4794-82af-2c7db8d50788\2025-04-17T08-05-10.780Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\d5082901-d846-4794-82af-2c7db8d50788\2025-04-17T08-05-10.780Z\Pitest\mutations.xml,False,B
dbcd3c5d-5f82-4c84-88cc-8a101893e23c,2025-04-17 10:17:25.898000+02:00,../../generated/reports-no-bug\dbcd3c5d-5f82-4c84-88cc-8a101893e23c\2025-04-17T08-17-25.898Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\dbcd3c5d-5f82-4c84-88cc-8a101893e23c\2025-04-17T08-17-25.898Z\Pitest\mutations.xml,False,A
de176a06-3fc9-4325-8c81-f131f193c1c4,2025-04-17 10:05:20.497000+02:00,../../generated/reports-no-bug\de176a06-3fc9-4325-8c81-f131f193c1c4\2025-04-17T08-05-20.497Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\de176a06-3fc9-4325-8c81-f131f193c1c4\2025-04-17T08-05-20.497Z\Pitest\mutations.xml,True,A
f08453ce-2b6e-40e4-a0b4-0c37218608fa,2025-04-17 09:26:22.593000+02:00,../../generated/reports-no-bug\f08453ce-2b6e-40e4-a0b4-0c37218608fa\2025-04-17T07-26-22.593Z\JaCoCo\jacoco.csv,False,../../generated/reports-no-bug\f08453ce-2b6e-40e4-a0b4-0c37218608fa\2025-04-17T07-26-22.593Z\Pitest\mutations.xml,False,A
