GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gamified-testing,be.thibber.gamification.exceptions,FullParkingException,4,0,0,0,2,0,1,0,1,0
gamified-testing,be.thibber.gamification,Person,0,13,0,0,0,6,0,3,0,3
gamified-testing,be.thibber.gamification,Coords,32,40,0,0,7,11,2,6,2,6
gamified-testing,be.thibber.gamification,Road,32,0,0,0,12,0,6,0,6,0
gamified-testing,be.thibber.gamification,City,167,0,16,0,40,0,18,0,10,0
gamified-testing,be.thibber.gamification,PolyLine,107,13,12,2,23,3,13,1,6,1
gamified-testing,be.thibber.gamification.building,House,12,0,0,0,3,0,2,0,2,0
gamified-testing,be.thibber.gamification.building,Building,5,37,1,1,1,15,1,7,0,7
gamified-testing,be.thibber.gamification.building,Parking,74,0,6,0,18,0,12,0,9,0
gamified-testing,be.thibber.gamification.vehicle,Vehicle,56,17,7,1,14,7,9,3,5,3
gamified-testing,be.thibber.gamification.vehicle,Car,46,50,7,3,14,17,8,8,4,7
